Country,1960,1970,1980,1990,2000
MKD,60.62,66.29,68.65,71.15,73.24
MLI,28.21,32.39,39.61,46.46,49.06
MLT,67.60,70.44,72.93,75.18,78.20
MMR,42.74,50.97,54.94,58.70,62.02
MNA,46.57,52.35,58.05,65.24,69.10
MNE,63.71,69.74,72.87,74.34,74.02
MNG,48.37,55.35,56.93,60.27,62.92
MNP,,,,,
MOZ,35.00,39.22,42.85,43.58,47.43
MRT,43.48,49.11,54.24,58.39,59.67
MUS,58.75,63.12,66.97,69.40,71.66
MWI,37.84,40.61,44.37,47.12,46.03
MYS,59.48,64.46,68.06,70.76,72.85
NAC,69.89,70.99,73.80,75.43,76.89
NAM,46.88,52.53,57.68,61.22,55.12
NCL,58.64,63.03,66.57,70.49,75.16
NER,35.52,36.27,39.40,43.95,50.71
NGA,37.18,41.18,45.55,46.11,46.62
NIC,47.00,53.64,58.50,64.14,69.65
NLD,73.39,73.59,75.74,76.88,77.99
NOC,65.43,67.74,67.87,70.02,68.81
NOR,73.55,74.09,75.67,76.54,78.63
NPL,38.46,42.43,47.65,55.04,62.04
NZL,71.24,71.27,72.83,75.38,78.64
OEC,68.74,70.80,73.47,75.73,77.89
OED,67.33,69.49,72.27,74.69,77.08
OMN,42.67,50.26,59.73,67.27,72.36
OSS,45.49,49.94,54.68,59.00,56.33
PAK,46.43,53.50,58.07,61.19,63.89
PAN,60.88,65.55,70.27,73.06,75.12
PER,47.69,53.45,60.06,65.53,70.51
PHL,57.81,60.81,62.16,65.22,66.80
PLW,,,,69.07,70.49
PNG,38.46,46.04,52.88,55.71,58.80
POL,67.68,69.87,70.10,70.89,73.75
PRI,68.72,71.54,73.70,74.17,76.69
PRK,51.08,59.28,65.75,69.34,64.98
PRT,62.81,67.07,71.21,73.97,76.31
PRY,63.79,65.43,66.77,68.01,70.08
PSS,53.62,58.02,61.72,63.69,66.74
PYF,56.36,60.28,64.71,68.83,72.45
QAT,61.25,68.53,72.85,75.30,76.82
ROU,65.64,68.06,69.09,69.74,71.16
RUS,66.06,68.13,67.03,68.90,65.34
RWA,42.25,44.29,47.91,32.61,47.64
SAS,42.39,49.08,55.45,58.94,62.66
SAU,45.67,52.72,63.11,69.15,72.61
SDN,48.19,52.22,54.24,55.51,57.98
SEN,38.21,39.22,48.94,57.18,57.77
SGP,65.66,68.28,72.19,75.30,77.95
SLB,49.38,54.39,58.89,56.70,62.84
SLE,30.33,34.61,40.65,37.36,38.11
SLV,51.30,56.55,56.76,65.88,69.56
SMR,,,,,80.62
SOM,36.97,40.95,44.74,45.39,50.88
SRB,,,,,71.58
SSA,40.21,44.31,48.19,49.95,50.22
SSD,31.68,35.80,39.03,43.52,49.23
SSF,40.20,44.31,48.19,49.95,50.22
SST,51.93,55.84,59.39,62.15,60.53
STP,50.45,55.87,60.51,61.77,63.29
SUR,59.68,63.28,65.94,67.50,67.93
SVK,69.98,70.14,70.41,70.93,73.05
SVN,68.98,68.61,71.10,73.20,75.41
SWE,73.01,74.65,75.74,77.54,79.64
SWZ,44.23,47.96,54.23,59.35,48.66
SXM,,,,,
SYC,,,,,
SYR,52.77,59.17,65.82,70.26,73.33
TCA,,,,,
TCD,38.02,41.31,44.67,46.35,46.69
TGO,40.27,46.54,52.30,55.85,53.55
THA,55.24,59.53,64.18,70.41,70.92
TJK,56.15,60.03,62.23,62.86,63.77
TKM,54.46,58.36,60.86,62.67,63.90
TLS,33.73,39.53,34.43,48.48,59.48
TON,61.36,64.89,67.55,69.58,70.76
TTO,62.66,65.11,67.06,68.02,68.60
TUN,42.01,51.14,62.02,70.31,72.60
TUR,45.38,52.26,58.69,64.28,70.00
TUV,,,,,
TZA,43.65,46.68,50.49,50.46,49.97
UGA,43.98,48.81,49.44,47.50,48.11
UKR,68.30,70.24,68.82,70.14,67.86
UMC,47.80,61.62,65.62,68.67,71.24
URY,67.90,68.69,70.29,72.54,74.66
USA,69.77,70.81,73.66,75.21,76.64
UZB,58.89,62.77,65.27,66.68,66.94
VCT,57.72,64.84,67.38,70.08,70.58
VEN,59.53,65.00,68.22,71.11,72.44
VIR,63.73,67.74,71.43,74.79,76.62
VNM,59.07,59.74,67.43,70.51,73.63
VUT,46.49,52.48,58.54,63.20,67.56
PSE,,,,68.05,70.91
WLD,52.48,59.60,63.19,65.70,67.69
WSM,49.97,54.97,59.97,65.04,69.49
YEM,32.39,41.16,50.56,57.76,60.46
ZAF,49.04,52.85,56.97,62.12,55.84
COD,41.02,43.84,46.09,47.44,46.36
ZMB,45.11,49.03,51.15,43.82,41.78
ZWE,51.54,54.90,59.38,59.13,43.92
