Country,1960,1970,1980,1990,2000
GUY,58.23260976,59.50760976,60.68192683,62.12219512,63.4847561
HIC,68.13613702,70.23626169,72.42048205,74.61057274,76.15804872
HKG,66.99970732,71.45243902,74.67317073,77.3804878,80.87804878
HND,46.28831707,52.51514634,59.61212195,66.68904878,70.48414634
HPC,39.56581702,43.68334628,47.40935062,49.62887644,51.74389951
HRV,64.60865854,68.2004878,70.17536585,72.1704878,72.80780488
HTI,42.159,47.19114634,50.73297561,54.42860976,57.42278049
HUN,68.00317073,69.16463415,69.06170732,69.31560976,71.24634146
IDN,44.8065122,52.38687805,58.59043902,63.44934146,67.25121951
IMN,,,,,
IND,41.38363415,48.84041463,55.37846341,58.52919512,62.16185366
INX,,,,,
IRL,69.6917561,70.99621951,72.54936585,74.74131707,76.53658537
IRN,44.9455122,50.86397561,54.66739024,63.44595122,69.60770732
IRQ,48.03068293,58.18768293,60.29114634,68.40256098,70.82992683
ISL,73.42865854,73.93390244,76.84658537,78.03634146,79.65365854
ISR,,71.21341463,73.87560976,76.60731707,78.95365854
ITA,69.12390244,71.55878049,73.94317073,76.97073171,79.77804878
JAM,64.19182927,68.18812195,70.4855122,70.65370732,70.47129268
JOR,52.68526829,60.19021951,66.23129268,69.92085366,71.7797561
JPN,67.66609756,71.9502439,76.09170732,78.83682927,81.07609756
KAZ,58.36758537,62.27646341,66.62439024,68.33658537,65.51707317
KEN,46.36241463,52.23302439,57.82017073,59.11534146,52.84012195
KGZ,56.12807317,60.24490244,62.90378049,68.29756098,68.55853659
KHM,41.20129268,41.68039024,29.61353659,54.753,61.88726829
KIR,46.875,51.375,55.84204878,60.6375122,64.60646341
KNA,,,,,
KOR,53.00131707,62.03585366,65.80926829,71.2997561,75.83536585
,,,,67.74878049,67.95121951
KWT,60.34795122,66.14278049,69.68868293,72.25953659,73.35521951
LAC,55.88314633,60.04593176,64.27765884,68.06050946,71.41538546
LAO,43.19292683,46.22665854,49.00480488,54.11956098,61.64446341
LBN,63.28012195,66.07870732,67.95665854,70.22114634,74.39082927
LBR,34.78317073,39.30214634,46.02207317,47.20243902,52.40912195
LBY,42.64119512,56.11858537,64.28687805,68.56485366,71.96621951
LCA,57.3037561,62.8525122,68.78195122,71.04943902,71.42353659
LCN,56.23930146,60.3341852,64.57391107,68.30996493,71.62804901
LDC,40.62259234,44.35916692,48.56857505,52.06571088,55.42270768
LIC,41.78704227,45.70827451,50.0365333,53.40316356,55.64898397
LIE,,,,,76.82682927
LKA,59.74714634,64.28168293,68.30936585,69.6794878,71.15712195
LMC,45.45047551,51.52538865,56.90765908,60.08166782,62.78817427
LMY,46.20264275,55.78440087,60.28197819,63.23883798,65.59923169
LSO,46.51070732,48.90821951,53.66831707,59.33109756,47.18297561
LTU,69.84731707,70.80439024,70.48219512,71.16073171,72.0195122
LUX,68.44639024,69.98346341,72.07504878,75.00992683,77.87317073
LVA,69.78682927,69.83536585,68.80853659,69.27317073,70.31463415
MAC,64.66092683,69.00536585,72.47131707,75.27697561,77.62282927
MAF,,,,74.52195122,76.97073171
MAR,48.44663415,52.53729268,57.51280488,64.683,68.13858537
MCO,,,,,
MDA,61.81278049,64.80739024,64.75565854,67.46565854,66.898
MDG,39.97468293,44.78241463,49.0307561,51.00809756,58.47280488
MDV,35.85960976,44.16292683,52.26080488,60.60426829,69.46160976
MEA,46.63465288,52.91625077,58.85960998,65.86173703,69.66582378
MEX,57.06563415,61.3502439,66.56021951,70.79573171,74.26526829
MHL,,,,,65.23902439
MIC,46.74040745,57.04880309,61.59783234,64.57643953,67.08825954
MKD,60.62280488,66.29278049,68.65043902,71.14763415,73.24219512
MLI,28.21160976,32.393,39.61314634,46.46470732,49.0554878
MLT,67.60178049,70.44331707,72.93243902,75.17578049,78.2
MMR,42.73639024,50.96768293,54.9415122,58.69517073,62.02421951
MNA,46.57008377,52.35323918,58.04725229,65.23959198,69.10220301
MNE,63.70560976,69.73982927,72.87219512,74.34104878,74.02136585
MNG,48.36880488,55.34643902,56.9255122,60.27034146,62.92370732
MNP,,,,,
MOZ,35.00370732,39.21882927,42.85104878,43.57931707,47.42541463
MRT,43.48309756,49.10695122,54.24243902,58.38612195,59.67292683
MUS,58.74521951,63.11804878,66.96539024,69.40487805,71.66341463
MWI,37.83558537,40.60521951,44.37312195,47.11682927,46.03421951
MYS,59.47534146,64.46321951,68.06053659,70.7574878,72.85141463
NAC,69.89360376,70.9854796,73.79684475,75.43126468,76.89243196
NAM,46.88039024,52.52717073,57.68295122,61.22495122,55.12070732
NCL,58.63902439,63.02926829,66.5695122,70.48536585,75.16341463
NER,35.51504878,36.26631707,39.40382927,43.95119512,50.70590244
NGA,37.18295122,41.18102439,45.54780488,46.11026829,46.624
NIC,46.99882927,53.64365854,58.49709756,64.135,69.64658537
NLD,73.39268293,73.58560976,75.74317073,76.87804878,77.98780488
NOC,65.42873223,67.74232467,67.86890531,70.02148402,68.80995186
NOR,73.5497561,74.08804878,75.67170732,76.53731707,78.63414634
NPL,38.45563415,42.43185366,47.65341463,55.03643902,62.04270732
NZL,71.23658537,71.27317073,72.82926829,75.37804878,78.63658537
OEC,68.73759795,70.79544196,73.47122626,75.72596092,77.8929808
OED,67.33317341,69.49181247,72.27220286,74.68684468,77.07706682
OMN,42.66707317,50.25841463,59.73,67.26773171,72.35658537
OSS,45.49179869,49.94393488,54.67936839,58.9977579,56.33131138
PAK,46.43373171,53.50304878,58.06782927,61.18731707,63.88597561
PAN,60.87682927,65.54665854,70.27097561,73.05958537,75.11663415
PER,47.69158537,53.4537561,60.06363415,65.53043902,70.50543902
PHL,57.81192683,60.8132439,62.1552439,65.22356098,66.79665854
PLW,,,,69.06926829,70.49365854
PNG,38.4622439,46.04092683,52.88370732,55.70934146,58.79929268
POL,67.6804878,69.86829268,70.09756098,70.8902439,73.74878049
PRI,68.71960976,71.54373171,73.70229268,74.16917073,76.68926829
PRK,51.07717073,59.28263415,65.74541463,69.34431707,64.98256098
PRT,62.80892683,67.07317073,71.21463415,73.96585366,76.31463415
PRY,63.79370732,65.43339024,66.77109756,68.01260976,70.07670732
PSS,53.62091305,58.01959,61.72073396,63.69356484,66.73601286
PYF,56.35704878,60.2802439,64.70556098,68.82860976,72.45
QAT,61.24790244,68.52707317,72.85314634,75.2994878,76.82014634
ROU,65.64243902,68.05592683,69.09097561,69.74121951,71.16341463
RUS,66.05529268,68.13365854,67.03390244,68.90243902,65.34146341
RWA,42.24929268,44.29178049,47.91170732,32.61156098,47.64265854
SAS,42.38618239,49.08299621,55.44638582,58.93532101,62.65774191
SAU,45.66626829,52.72453659,63.10514634,69.14897561,72.6147561
SDN,48.18763415,52.22121951,54.24112195,55.51446341,57.978
SEN,38.206,39.22053659,48.9427561,57.18309756,57.77426829
SGP,65.65982927,68.27941463,72.1902439,75.29512195,77.95121951
SLB,49.38170732,54.38770732,58.89073171,56.7047561,62.83673171
SLE,30.33153659,34.60909756,40.6502439,37.35736585,38.11160976
SLV,51.29931707,56.55243902,56.76465854,65.87890244,69.55878049
SMR,,,,,80.6195122
SOM,36.96587805,40.94792683,44.73536585,45.38934146,50.87826829
SRB,,,,,71.58292683
SSA,40.20709867,44.31304516,48.19415467,49.94856428,50.2199646
SSD,31.67670732,35.80390244,39.03412195,43.52326829,49.2344878
SSF,40.2032538,44.3084726,48.19110481,49.94606311,50.21804824
SST,51.93174752,55.84226251,59.38730435,62.15267392,60.5263437
STP,50.45136585,55.86846341,60.51178049,61.77143902,63.29253659
SUR,59.68012195,63.27741463,65.94043902,67.50187805,67.92917073
SVK,69.97592683,70.13873171,70.40853659,70.93268293,73.05121951
SVN,68.97804878,68.6097561,71.10487805,73.20487805,75.41219512
SWE,73.00560976,74.64926829,75.74097561,77.53682927,79.64390244
SWZ,44.23378049,47.96163415,54.22634146,59.34519512,48.66407317
SXM,,,,,
SYC,,,,,
SYR,52.7682439,59.17243902,65.81580488,70.25941463,73.33029268
TCA,,,,,
TCD,38.01612195,41.30512195,44.66682927,46.34858537,46.68717073
TGO,40.27282927,46.53509756,52.30441463,55.84843902,53.54534146
THA,55.23836585,59.52665854,64.1835122,70.41112195,70.91658537
TJK,56.15353659,60.02921951,62.23390244,62.86478049,63.77173171
TKM,54.45868293,58.35782927,60.86056098,62.67414634,63.89929268
TLS,33.72712195,39.52887805,34.42595122,48.47973171,59.48141463
TON,61.36453659,64.88509756,67.55,69.58231707,70.76043902
TTO,62.65758537,65.11063415,67.06268293,68.02290244,68.59795122
TUN,42.0097561,51.14273171,62.0245122,70.30731707,72.6
TUR,45.38441463,52.26141463,58.69158537,64.28234146,69.99836585
TUV,,,,,
TZA,43.65387805,46.68,50.49307317,50.46336585,49.9715122
UGA,43.98356098,48.8102439,49.4414878,47.50065854,48.10936585
