Country,1960,1970,1980,1990,2000
MKD,1471139,1691507,1895727,2009710,2052129
MLI,5098942,5716294,6735247,7964066,10260577
MLT,326550,302650,316645,354170,381363
MMR,21486424,27166045,34474755,42123003,48453000
MNA,98926516,129117173,168219685,226227875,276578220
MNE,479099,531555,579088,614601,611196
MNG,955508,1278820,1689621,2184159,2397473
MNP,10070,13203,17048,43972,68434
MOZ,7647284,9453375,12142014,13567959,18275618
MRT,858316,1148936,1534141,2024163,2708095
MUS,659351,826000,966039,1058775,1186873
MWI,3525127,4529749,6236824,9447123,11321496
MYS,8160975,10908634,13833739,18211097,23420751
NAC,198624409,226431000,251872670,277473326,312993944
NAM,602545,780386,1012761,1415447,1897953
NCL,79000,112000,140050,170899,213230
NER,3337141,4412638,5834248,7753907,10989815
NGA,45211614,56131845,73698099,95617350,122876727
NIC,1774574,2399677,3250470,4137788,5100920
NLD,11486631,13038526,14149800,14951510,15925513
NOC,157851778,178281325,199251247,223312453,231667801
NOR,3581239,3875763,4085620,4241473,4490967
NPL,9544938,11559455,14384864,18111200,23184177
NZL,2371800,2810700,3112900,3329800,3857700
OEC,710723410,793112486,861126632,916589970,979027588
OED,786937631,891210565,986096557,1067035567,1156286649
OMN,551737,723850,1154375,1810103,2192535
OSS,6625745,8124561,10117472,13232901,16222082
PAK,45540594,59204212,79984297,111090879,143832014
PAN,1136090,1525683,1990062,2486776,3054812
PER,9931518,13194548,17328542,21772035,26000080
PHL,26271731,35805060,47398432,61948688,77651848
PLW,9638,11481,12197,15089,19174
PNG,1966957,2434754,3215483,4157903,5379226
POL,29637450,32664300,35574150,38110782,38258629
PRI,2358000,2718000,3206000,3537000,3810605
PRK,11424179,14410403,17372172,20194361,22840225
PRT,8857716,8680431,9766312,9983218,10289898
PRY,1907041,2484736,3198848,4249747,5350253
PSS,853114,1138221,1408371,1683615,1952589
PYF,78083,110496,151702,198370,237267
QAT,47316,109342,223752,476517,593693
ROU,18406905,20250398,22242653,23201835,22442971
RUS,119897000,130404000,139010000,148292000,146596870
RWA,2933424,3754546,5140786,7214696,8395577
SAS,573201723,716207623,904327668,1134976416,1382195669
SAU,4072110,5802967,9843265,16206078,20144584
SDN,7527450,10232758,14418063,20008804,27729798
SEN,3177737,4218056,5568908,7514110,9861679
SGP,1646400,2074500,2413900,3047100,4027900
SLB,117869,160292,230614,311849,412336
SLE,2160111,2531874,3180237,4042678,4139757
SLV,2772970,3735620,4660556,5344226,5958794
SMR,15393,19136,21397,24135,26969
SOM,2756380,3445420,6089707,6321615,7385416
SRB,,,,7586000,7516346
SSA,227588907,291021316,382064389,506861360,663729242
SSD,2955044,3647097,4701961,5764216,6652984
SSF,227841022,291312221,382284978,507235211,664247421
SST,11665832,14171432,16986602,20879095,24606051
STP,64255,74251,94953,117395,139428
SUR,290137,372311,365616,406764,466668
SVK,4068095,4538223,4979815,5299187,5388720
SVN,1584720,1724891,1901315,1998161,1988925
SWE,7484656,8042801,8310531,8558835,8872109
SWZ,349233,445844,603373,862728,1063715
SXM,,,,,30519
SYC,41700,53600,64400,70000,81131
SYR,4592777,6378802,8956156,12451539,16371208
TCA,5724,5632,7525,11550,18876
TCD,3002596,3644911,4512758,5951574,8301151
TGO,1580513,2115521,2720838,3787602,4864753
THA,27362310,36878580,47369137,56582726,62343379
TJK,2064035,2919586,3917642,5297286,6186152
TKM,1593501,2188499,2861000,3668000,4501419
TLS,499681,604392,580730,751488,853585
TON,61600,84370,93007,95165,97962
TTO,848481,945996,1085308,1221904,1267980
TUN,4220701,5127000,6384000,8154400,9552500
TUR,27553280,34772031,43905790,53994605,63174483
TUV,6104,7296,8051,9004,9419
TZA,10074490,13604627,18686808,25484814,34020512
UGA,6788211,9446024,12549779,17534839,24275641
UKR,42662162,47086954,49973757,51892000,49175848
UMC,1062752609,1323758262,1614674875,1911729800,2165171876
URY,2538779,2809981,2915735,3109941,3320841
USA,180671000,205052000,227225000,249623000,282162411
UZB,8558503,11972994,16026812,20510000,24650400
VCT,80948,90457,100506,107509,107897
VEN,7580281,10724328,15096432,19740786,24407553
VIR,32000,63000,97000,103963,108639
VNM,34743000,42729000,53700000,66016700,77630900
VUT,63701,85388,115634,146633,185058
PSE,,,,1978248,2922153
WLD,3036532274,3686967186,4438370556,5278917295,6101963950
WSM,108645,143175,155554,162865,174614
YEM,5099785,6096574,7906977,11790249,17522537
ZAF,17396000,22087000,27576000,35200000,44000000
COD,15248246,20009902,26357407,34910591,46949244
ZMB,3082627,4191114,5847241,7844516,10100981
ZWE,3752390,5206305,7289069,10461782,12503652
